person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Amber Daniels,,2014-15,2014-15,1,2014-15,"Justice, Judicial Council","Justice, Judicial Council (2014-15)","Amber Daniels served as an associate justice on the SGA Judicial Council for 2014-15, one of six justices with Chief Justice Kara Raley, Stacey Schepers, Allie Payne, Robert Bell and Abigail Potter, appointed by the SGA president and confirmed by the Senate to interpret the SGA constitution and bylaws and review election codes. By the Senate's meeting of 2 February 2016 the Judicial Council reported that a justice named Amber Daniel had been elected chief justice at the council's previous meeting; the minutes do not say how the office fell vacant or confirm that the two spellings name the same person.","SGA Judicial Branch page, archived 16 Apr 2015 (last modified 25 Feb 2015)"
Amber Lee Mason,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)","Recorded absent from the Congress meeting of 9 Sep 1997, against a roster the minutes do not print in full.","SGA Meeting Minutes, 9 Sep 1997"
Amelia Bice,,2004-05,2004-05,1,2004-05,Office Associate,Office Associate (2004-05),"Amelia Bice served as SGA's office associate for 2004-05, having held the same position the year before. The executive branch's own website that year listed her post, informally, as ""Office Associate (SGA Goddess).""","WKU SGA executive branch page, 2004-2005 officers, archived 26 May 2005"
Amelia Tucker,,2025-26,2026-27,2,2025-26; 2026-27,Senator At Large,Senator At Large (2025-26); Senator (2026-27),"Amelia Tucker sat as a senator at-large in the 2025-26 Student Government Association and was named an author on fifteen pieces of legislation that year (six of the fifteen sign her Amelia R. Tucker, the rest Amelia Tucker). Among them she co-authored Bill 7-25-F, allocating $155 for ""birthday boxes"" assembled for the Office of Sustainability's food pantry, after Dr. Leslie North of that office reported roughly 19 students visiting the pantry daily; Resolution 7-25-F, supporting additional handicapped-accessible restrooms in Grise Hall; Bill 2-26-S, funding a $450 CPR certification voucher program with the Area Health Education Center's WKU CPR Training Center; Bill 14-26-S, funding $580 of programming for SGA's Campus Safety and Security Week; Resolution 2-26-S, which repealed SGA's standing executive and legislative bylaws and adopted in their place an amended set reviewed and revised by the Bylaws Review Committee; and Bill 21-26-S, funding refreshments for a National Panhellenic Council preview day for prospective students. A sitting senator who ran for Speaker of the Senate at the 26th Senate's first meeting, 28 April 2026; tied 9-9 with Veronica Butler in the first vote before losing the re-vote.","Herald, 28 Apr 2026 - SGA holds first meeting of 26th Senate, swears in new senators, senate speaker; SGA legislation: Bill 14-26-S, Funding for Student Government Association Campus Safety and Security Week"
Amos Gott,,1988-89,1990-91,3,1988-89; 1989-90; 1990-91,president,president (1989-90); Public Relations Vice-President (1988-89); Judicial Council Chairman (1990-91),"Amos Gott served as public relations vice president of the Associated Student Government for 1988-89. He announced the Vote America registration drive for Downing University Center on 4, 5 and 6 October 1988, and an ASG hotline running every Wednesday afternoon from 1 to 4, which he told Congress on 25 October would open the next day. He also wrote pieces for the Herald that year explaining the organization to students, including ""Understand Associated Student Government"" that November. He ran for the ASG presidency the following spring and won, taking office for 1989-90. Gott was a visible member before he was president, signing Herald letters on ASG's behalf, including a January 1989 piece promoting Campus Pride '89 and an earlier letter urging readers to understand the organization. He won the presidency in April 1989, edging Lynn Groemling in a race that had drawn candidate complaints about the brief primary. His presidency ran on correspondence: resolutions went out over his signature as memoranda to named administrators and answers came back. In spring 1990 he wrote to six administrators under Resolution 90-6-S seeking changes to the final exam schedule, part of a surviving file that also covers extended library hours, the Downing University Center flagpole, mace sales at the bookstore, AIDS education and larger diplomas. Gott was already writing on Associated Student Government's behalf before he led it, signing a January 1989 Herald piece promoting Campus Pride '89. That spring he ran for president, survived a primary that several candidates complained had been too brief, and then edged Lynn Groemling in the runoff to take the office for 1989-90. He started early. The Herald's second issue of the fall reported that Gott had gotten a jump on the ASG semester, running alongside a piece urging students to participate. The fall that followed was busy and money was tight: the paper reported ASG's budget was tiny compared with other schools, the congress approved a new statewide board before admitting it could not afford the dues, and it spent the semester picking up and putting down a proposed Public Interest Research Group. Gott opened the spring with a Herald letter asking students to become involved, and by February he was defending an Anti-Apathy Week in print after it drew criticism. The rest of his spring ran through the congress: opening Pearce-Ford Tower's windows, more parking on the lower end of campus, a revised WKU Glasgow constitution, and a vote to expand the congress so classes and student groups had more voice. He handed off to Michael Colvin in April 1990. After his term as ASG president ended in 1990, Amos Gott returned to Congress as chairman of the Judicial Council. He resigned in January 1991, when a new part-time university staff job made him ineligible for office under the ASG constitution. The Herald reported his departure, alongside that of public relations vice president Van Hodge, on 17 January 1991 under the headline ""Two Associated Student Government Officers Step Down.""","ASG minutes, 27 September 1988 and 31 January 1989; Herald 66:33, 17 Jan 1991, ""Two Associated Student Government Officers Step Down""; TopSCHOLAR - Gott correspondence"
Amr Yassein,,2006-07,2006-07,1,2006-07,Senator,Senator (2006-07),One of eleven senators sworn in under the Oath of Office on 30 January 2007. No independent source was found in this pass to cross-check the spelling.,"SGA Minutes, 30 January 2007"
Amy Bell,,2002-03,2002-03,1,2002-03,At-large representative,At-large representative (2002-03),"One of six sworn in as at-large Congress members, 29 January 2003.","SGA Meeting Minutes, 29 Jan 2003"
Amy Braden,,1996-97,1996-97,1,1996-97,"attended and voted, per the roll-call vote of 29 Oct 1996","attended and voted, per the roll-call vote of 29 Oct 1996 (1996-97)","Nominated and accepted as secretary of the Student Affairs committee on 21 October 1996, the same evening Jason Cole was accepted as its vice chair; confirmed a voting member on the roll-call vote of 29 October 1996, since the minutes record that some committees also admit volunteers who are not Congress members.","SGA Meeting Minutes, 29 Oct 1996"
Amy Buchanon,,1998-99,1998-99,1,1998-99,"Rank-and-file Congress member (recorded absent at roll call, 1 Dec 1998)","Rank-and-file Congress member (recorded absent at roll call, 1 Dec 1998) (1998-99)",Also recorded absent 9 March 1999.,"SGA Meeting Minutes, December 1, 1998"
Amy Caswell,,1998-99,2001-02,3,1998-99; 2000-01; 2001-02,Vice President of Finance,"Vice President of Finance (2000-01); Chairperson, Senior Awards Banquet Committee (2001-02); Rank-and-file Congress member (recorded absent at roll call as 'Amy Cassell,' 29 Sept 1998) (1998-99)","Named with Leslie Bedo for wearing Hillraiser T-shirts, 2 Feb 1999; nominated for the Charles A. Keown and Kerri Faye Stewart awards, 13 April 1999. Amy Caswell won the 2000 race for vice president of finance, defeating Billy Lyons 706 votes to 461; the Herald had previewed her beforehand under the headline ""Amy Caswell: Race Won't Get Messy."" She did not finish the term: the Herald reported her resignation from SGA on 7 December 2000. No source found states her reason. The seat was filled on 16 January 2001, when Congress approved Mark Rawlings and he was sworn in as vice president of finance; SGA's minutes record four candidates interviewed for the vacancy.","SGA Meeting Minutes, September 4, 2001; SGA Meeting Minutes, September 8, 1998; WKU news release, 14 Apr 2000 (archived)"
Amy Deputy,,1984-85,1984-85,1,1984-85,Congress member,Congress member (1984-85),Named absent at the roll call of the 4 September 1984 ASG meeting.,"ASG Meeting Minutes, 4 September 1984"
Amy Duncan,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)","Recorded absent from the Congress meeting of 9 Sep 1997, against a roster the minutes do not print in full.","SGA Meeting Minutes, 9 Sep 1997"
Amy France,,1996-97,1998-99,2,1996-97; 1998-99,"Chairperson, Public Relations Committee","Chairperson, Public Relations Committee (1998-99); attended and voted, per roll call (1996-97)","One of six names filling four announced open positions (At-Large, Junior Off-Campus, Freshman Council, Rodes-Harlin) by unanimous consent 21 Jan 1997; the source does not make clear which of the six went to which seat. Amy France ran for Student Government Association public relations director in the spring 1998 election, one of three candidates the Herald named on 9 April in a story headlined ""Race for Public Relations Post Heating Up,"" alongside Christoph Miller and Brad Sweatt. Sweatt won the office. Congress appointed France chair of the Senate's Public Relations Committee at the July 1998 executive retreat instead, but by the first Congress meeting that September the committee was already reporting under a successor, Amanda Cole.","SGA Executive Council Minutes, 18-19 Jul 1998; SGA Meeting Minutes, 21 Jan 1997"
